note(canal, nota, intensidade), tick

note_on(0, 60, 100.0), 576
note_off(0, 60, 64), 672
note_on(0, 60, 100.0), 672
note_off(0, 60, 64), 768
note_on(0, 69, 100.0), 768
note_off(0, 69, 64), 960
note_on(0, 65, 100.0), 1248
note_off(0, 65, 64), 1344
note_on(0, 67, 100.0), 1344
note_off(0, 67, 64), 1440
note_on(0, 65, 100.0), 1440
note_off(0, 65, 64), 1536
note_on(0, 62, 100.0), 1536
note_off(0, 62, 64), 1728
note_on(0, 62, 100.0), 2112
note_off(0, 62, 64), 2208
note_on(0, 62, 100.0), 2208
note_off(0, 62, 64), 2304
note_on(0, 70, 100.0), 2304
note_off(0, 70, 64), 2496
note_on(0, 67, 100.0), 2784
note_off(0, 67, 64), 2880
note_on(0, 69, 100.0), 2880
note_off(0, 69, 64), 2976
note_on(0, 67, 100.0), 2976
note_off(0, 67, 64), 3072
note_on(0, 64, 100.0), 3072
note_off(0, 64, 64), 3264
note_on(0, 64, 100.0), 3648
note_off(0, 64, 64), 3744
note_on(0, 64, 100.0), 3744
note_off(0, 64, 64), 3840
note_on(0, 72, 100.0), 3840
note_off(0, 72, 64), 4032
note_on(0, 69, 100.0), 4320
note_off(0, 69, 64), 4416
note_on(0, 70, 100.0), 4416
note_off(0, 70, 64), 4512
note_on(0, 72, 100.0), 4512
note_off(0, 72, 64), 4608
note_on(0, 74, 100.0), 4608
note_off(0, 74, 64), 4800
note_on(0, 65, 100.0), 5184
note_off(0, 65, 64), 5280
note_on(0, 67, 100.0), 5280
note_off(0, 67, 64), 5376
note_on(0, 69, 100.0), 5376
note_off(0, 69, 64), 5568
note_on(0, 65, 100.0), 5568
note_off(0, 65, 64), 5760
note_on(0, 64, 100.0), 5856
note_off(0, 64, 64), 5952
note_on(0, 65, 100.0), 5952
note_off(0, 65, 64), 6048
note_on(0, 67, 100.0), 6048
note_off(0, 67, 64), 6144
note_on(0, 62, 100.0), 6144
note_off(0, 62, 64), 6336
note_on(0, 62, 100.0), 26880
note_off(0, 62, 64), 27072
note_on(1, 74, 100.0), 9024
note_off(1, 74, 64), 9120
note_on(1, 74, 100.0), 9120
note_off(1, 74, 64), 9216
note_on(1, 81, 100.0), 9216
note_off(1, 81, 64), 9648
note_on(1, 77, 100.0), 9696
note_off(1, 77, 64), 9792
note_on(1, 79, 100.0), 9792
note_off(1, 79, 64), 9888
note_on(1, 77, 100.0), 9888
note_off(1, 77, 64), 9984
note_on(1, 74, 100.0), 9984
note_off(1, 74, 64), 10560
note_on(1, 74, 100.0), 10560
note_off(1, 74, 64), 10656
note_on(1, 74, 100.0), 10656
note_off(1, 74, 64), 10752
note_on(1, 82, 100.0), 10752
note_off(1, 82, 64), 11184
note_on(1, 79, 100.0), 11232
note_off(1, 79, 64), 11328
note_on(1, 81, 100.0), 11328
note_off(1, 81, 64), 11424
note_on(1, 79, 100.0), 11424
note_off(1, 79, 64), 11520
note_on(1, 76, 100.0), 11520
note_off(1, 76, 64), 12096
note_on(1, 76, 100.0), 12096
note_off(1, 76, 64), 12192
note_on(1, 76, 100.0), 12192
note_off(1, 76, 64), 12288
note_on(1, 84, 100.0), 12288
note_off(1, 84, 64), 12720
note_on(1, 81, 100.0), 12768
note_off(1, 81, 64), 12864
note_on(1, 82, 100.0), 12864
note_off(1, 82, 64), 12960
note_on(1, 84, 100.0), 12960
note_off(1, 84, 64), 13056
note_on(1, 86, 100.0), 13056
note_off(1, 86, 64), 13632
note_on(1, 77, 100.0), 13632
note_off(1, 77, 64), 13728
note_on(1, 79, 100.0), 13728
note_off(1, 79, 64), 13824
note_on(1, 81, 100.0), 13824
note_off(1, 81, 64), 14256
note_on(1, 76, 100.0), 14304
note_off(1, 76, 64), 14400
note_on(1, 77, 100.0), 14400
note_off(1, 77, 64), 14496
note_on(1, 79, 100.0), 14496
note_off(1, 79, 64), 14592
note_on(1, 77, 100.0), 14592
note_off(1, 77, 64), 16128
note_on(1, 62, 100.0), 20928
note_off(1, 62, 64), 21024
note_on(1, 69, 100.0), 21024
note_off(1, 69, 64), 21216
note_on(1, 65, 100.0), 21216
note_off(1, 65, 64), 21312
note_on(1, 67, 100.0), 21312
note_off(1, 67, 64), 21408
note_on(1, 69, 100.0), 21408
note_off(1, 69, 64), 21504
note_on(1, 67, 100.0), 21504
note_off(1, 67, 64), 21696
note_on(1, 65, 100.0), 21696
note_off(1, 65, 64), 21792
note_on(1, 62, 100.0), 21792
note_off(1, 62, 64), 22272
note_on(1, 70, 100.0), 22272
note_off(1, 70, 64), 22464
note_on(1, 67, 100.0), 22464
note_off(1, 67, 64), 22560
note_on(1, 69, 100.0), 22560
note_off(1, 69, 64), 22752
note_on(1, 67, 100.0), 22752
note_off(1, 67, 64), 22848
note_on(1, 69, 100.0), 22848
note_off(1, 69, 64), 22944
note_on(1, 70, 100.0), 22944
note_off(1, 70, 64), 23040
note_on(1, 72, 100.0), 23040
note_off(1, 72, 64), 23232
note_on(1, 70, 100.0), 23232
note_off(1, 70, 64), 23328
note_on(1, 69, 100.0), 23328
note_off(1, 69, 64), 23520
note_on(1, 69, 100.0), 23520
note_off(1, 69, 64), 23616
note_on(1, 70, 100.0), 23616
note_off(1, 70, 64), 23712
note_on(1, 69, 100.0), 23712
note_off(1, 69, 64), 23808
note_on(1, 62, 100.0), 24000
note_off(1, 62, 64), 24096
note_on(1, 69, 100.0), 24096
note_off(1, 69, 64), 24288
note_on(1, 65, 100.0), 24288
note_off(1, 65, 64), 24384
note_on(1, 67, 100.0), 24384
note_off(1, 67, 64), 24480
note_on(1, 69, 100.0), 24480
note_off(1, 69, 64), 24576
note_on(1, 67, 100.0), 24576
note_off(1, 67, 64), 24768
note_on(1, 65, 100.0), 24768
note_off(1, 65, 64), 24864
note_on(1, 62, 100.0), 24864
note_off(1, 62, 64), 25344
note_on(1, 70, 100.0), 25344
note_off(1, 70, 64), 25536
note_on(1, 67, 100.0), 25536
note_off(1, 67, 64), 25632
note_on(1, 69, 100.0), 25632
note_off(1, 69, 64), 25824
note_on(1, 67, 100.0), 25824
note_off(1, 67, 64), 25920
note_on(1, 69, 100.0), 25920
note_off(1, 69, 64), 26016
note_on(1, 70, 100.0), 26016
note_off(1, 70, 64), 26112
note_on(1, 72, 100.0), 26112
note_off(1, 72, 64), 26304
note_on(1, 70, 100.0), 26304
note_off(1, 70, 64), 26400
note_on(1, 69, 100.0), 26400
note_off(1, 69, 64), 26496
note_on(1, 69, 100.0), 26592
note_off(1, 69, 64), 26688
note_on(1, 70, 100.0), 26688
note_off(1, 70, 64), 26784
note_on(1, 69, 100.0), 26784
note_off(1, 69, 64), 26880
note_on(1, 74, 100.0), 29760
note_off(1, 74, 64), 29856
note_on(1, 74, 100.0), 29856
note_off(1, 74, 64), 29952
note_on(1, 81, 100.0), 29952
note_off(1, 81, 64), 30384
note_on(1, 77, 100.0), 30432
note_off(1, 77, 64), 30528
note_on(1, 79, 100.0), 30528
note_off(1, 79, 64), 30624
note_on(1, 77, 100.0), 30624
note_off(1, 77, 64), 30720
note_on(1, 74, 100.0), 30720
note_off(1, 74, 64), 31296
note_on(1, 74, 100.0), 31296
note_off(1, 74, 64), 31392
note_on(1, 74, 100.0), 31392
note_off(1, 74, 64), 31488
note_on(1, 82, 100.0), 31488
note_off(1, 82, 64), 31920
note_on(1, 79, 100.0), 31968
note_off(1, 79, 64), 32064
note_on(1, 81, 100.0), 32064
note_off(1, 81, 64), 32160
note_on(1, 79, 100.0), 32160
note_off(1, 79, 64), 32256
note_on(1, 76, 100.0), 32256
note_off(1, 76, 64), 32832
note_on(1, 76, 100.0), 32832
note_off(1, 76, 64), 32928
note_on(1, 76, 100.0), 32928
note_off(1, 76, 64), 33024
note_on(1, 84, 100.0), 33024
note_off(1, 84, 64), 33456
note_on(1, 81, 100.0), 33504
note_off(1, 81, 64), 33600
note_on(1, 82, 100.0), 33600
note_off(1, 82, 64), 33696
note_on(1, 84, 100.0), 33696
note_off(1, 84, 64), 33792
note_on(1, 86, 100.0), 33792
note_off(1, 86, 64), 34368
note_on(1, 77, 100.0), 34368
note_off(1, 77, 64), 34464
note_on(1, 79, 100.0), 34464
note_off(1, 79, 64), 34560
note_on(1, 81, 100.0), 34560
note_off(1, 81, 64), 34992
note_on(1, 76, 100.0), 35040
note_off(1, 76, 64), 35136
note_on(1, 77, 100.0), 35136
note_off(1, 77, 64), 35232
note_on(1, 79, 100.0), 35232
note_off(1, 79, 64), 35328
note_on(1, 76, 100.0), 35328
note_off(1, 76, 64), 36864
note_on(1, 62, 100.0), 41664
note_off(1, 62, 64), 41760
note_on(1, 69, 100.0), 41760
note_off(1, 69, 64), 41952
note_on(1, 65, 100.0), 41952
note_off(1, 65, 64), 42048
note_on(1, 67, 100.0), 42048
note_off(1, 67, 64), 42144
note_on(1, 69, 100.0), 42144
note_off(1, 69, 64), 42240
note_on(1, 67, 100.0), 42240
note_off(1, 67, 64), 42432
note_on(1, 65, 100.0), 42432
note_off(1, 65, 64), 42528
note_on(1, 62, 100.0), 42528
note_off(1, 62, 64), 43008
note_on(1, 70, 100.0), 43008
note_off(1, 70, 64), 43200
note_on(1, 67, 100.0), 43200
note_off(1, 67, 64), 43296
note_on(1, 69, 100.0), 43296
note_off(1, 69, 64), 43488
note_on(1, 67, 100.0), 43488
note_off(1, 67, 64), 43584
note_on(1, 69, 100.0), 43584
note_off(1, 69, 64), 43680
note_on(1, 70, 100.0), 43680
note_off(1, 70, 64), 43776
note_on(1, 72, 100.0), 43776
note_off(1, 72, 64), 43968
note_on(1, 70, 100.0), 43968
note_off(1, 70, 64), 44064
note_on(1, 69, 100.0), 44064
note_off(1, 69, 64), 44256
note_on(1, 69, 100.0), 44256
note_off(1, 69, 64), 44352
note_on(1, 70, 100.0), 44352
note_off(1, 70, 64), 44448
note_on(1, 69, 100.0), 44448
note_off(1, 69, 64), 44544
note_on(1, 62, 100.0), 44736
note_off(1, 62, 64), 44832
note_on(1, 69, 100.0), 44832
note_off(1, 69, 64), 45024
note_on(1, 65, 100.0), 45024
note_off(1, 65, 64), 45120
note_on(1, 67, 100.0), 45120
note_off(1, 67, 64), 45216
note_on(1, 69, 100.0), 45216
note_off(1, 69, 64), 45312
note_on(1, 67, 100.0), 45312
note_off(1, 67, 64), 45504
