Nota(duracao, frequencia, amplitude)

Nota(0.22782259,261.62558,20.0)
Nota(0.22782259,261.62558,20.0)
Nota(0.45564517,440.0,20.0)
Nota(0.22782259,349.22824,20.0)
Nota(0.22782259,391.99542,20.0)
Nota(0.22782259,349.22824,20.0)
Nota(0.45564517,293.66476,20.0)
Nota(0.22782259,293.66476,20.0)
Nota(0.22782259,293.66476,20.0)
Nota(0.45564517,466.16376,20.0)
Nota(0.22782259,391.99542,20.0)
Nota(0.22782259,440.0,20.0)
Nota(0.22782259,391.99542,20.0)
Nota(0.45564517,329.62756,20.0)
Nota(0.22782259,329.62756,20.0)
Nota(0.22782259,329.62756,20.0)
Nota(0.45564517,523.25116,20.0)
Nota(0.22782259,440.0,20.0)
Nota(0.22782259,466.16376,20.0)
Nota(0.22782259,523.25116,20.0)
Nota(0.45564517,587.3295,20.0)
Nota(0.22782259,349.22824,20.0)
Nota(0.22782259,391.99542,20.0)
Nota(0.45564517,440.0,20.0)
Nota(0.45564517,349.22824,20.0)
Nota(0.22782259,329.62756,20.0)
Nota(0.22782259,349.22824,20.0)
Nota(0.22782259,391.99542,20.0)
Nota(0.45564517,293.66476,20.0)
Nota(0.45564517,293.66476,20.0)
Nota(0.22782259,587.3295,20.0)
Nota(0.22782259,587.3295,20.0)
Nota(1.0252017,880.0,20.0)
Nota(0.22782259,698.4565,20.0)
Nota(0.22782259,783.99084,20.0)
Nota(0.22782259,698.4565,20.0)
Nota(1.3669355,587.3295,20.0)
Nota(0.22782259,587.3295,20.0)
Nota(0.22782259,587.3295,20.0)
Nota(1.0252017,932.3275,20.0)
Nota(0.22782259,783.99084,20.0)
Nota(0.22782259,880.0,20.0)
Nota(0.22782259,783.99084,20.0)
Nota(1.3669355,659.2551,20.0)
Nota(0.22782259,659.2551,20.0)
Nota(0.22782259,659.2551,20.0)
Nota(1.0252017,1046.5023,20.0)
Nota(0.22782259,880.0,20.0)
Nota(0.22782259,932.3275,20.0)
Nota(0.22782259,1046.5023,20.0)
